fichier,simulateur_type,has_sticky_banner,has_faq_schema,has_verbalized_legend,has_officiel_link,backend_chiffre_kept,h1_unchanged,action_done
blog\frais-notaire-departements.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\inflation-cout-vie-2026.html,PRIME,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRIME
blog\revalorisation-smic-2026.html,PRIME,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRIME
blog\salarie-ou-auto-entrepreneur-2026.html,PLUSVALUE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PLUSVALUE
blog.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
charges\index.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
charges.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
comment-calculer-frais-notaire.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
comment-calculer-plus-value.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
crypto-bourse.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
