fichier,simulateur_type,has_sticky_banner,has_faq_schema,has_verbalized_legend,has_officiel_link,backend_chiffre_kept,h1_unchanged,action_done
taxe-fonciere\comment-connaitre-la-valeur-locative-cadastrale\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\comment-connaitre-la-valeur-locative-cadastrale.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\comment-contester-sa-taxe-fonciere\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\comment-contester-sa-taxe-fonciere.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\comment-est-calculee-la-taxe-fonciere\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\comment-est-calculee-la-taxe-fonciere.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\estimation-taxe-fonciere-comment-faire\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\estimation-taxe-fonciere-comment-faire.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\taxe-fonciere-par-ville-est-ce-fiable\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\taxe-fonciere-par-ville-est-ce-fiable.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\valeur-locative-cadastrale-definition-simple\index.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe-fonciere\valeur-locative-cadastrale-definition-simple.html,TAXE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation TAXE
taxe.html,IMPOT,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation IMPOT
travail\index.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
travail.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
